train:357.15236668884756	 val:352.1938799184561
train:4.246636013686657	 val:4.142785125374794
train:4.505176439285278	 val:4.477703293263912
train:3.4760903894901274	 val:3.4696837556362152
train:2.4723322489857673	 val:2.4463324281573295
train:2.274473241120577	 val:2.2283352579176428
train:2.533186951428652	 val:2.5305790591239927
train:1.0006540475785732	 val:1.0034403435885906
train:0.8417272118479013	 val:0.8361801604926586
train:0.7169083981215953	 val:0.7135323493182659
train:0.6896493921428919	 val:0.6922883674502373
train:0.7688308890908957	 val:0.769462316930294
train:1.0877787099778653	 val:1.0956606924533845
train:1.0766363370418548	 val:1.0782520900666714
train:1.3732565322518349	 val:1.3582064129412175
train:1.0510449424386024	 val:1.0490858286619187
train:0.8564795066416263	 val:0.8576287922263145
train:0.847719865590334	 val:0.8436360315978527
train:0.6998086292296648	 val:0.7024994836747647
train:0.6255947195738554	 val:0.6286488664150238
train:0.609766163751483	 val:0.6158351098001004
train:0.6668621487170457	 val:0.6711676064133644
train:0.7782873863726855	 val:0.7853494220972062
train:1.0041739793121816	 val:1.0065538015961648
train:1.219603616297245	 val:1.2118336230516433
train:1.1528410983085633	 val:1.1586011347174645
train:0.8331497293710709	 val:0.8336220724880695
train:0.729669900983572	 val:0.7313373038172721
train:0.6464452304691076	 val:0.6533214135468006
train:0.5717545472830534	 val:0.5839681319147348
train:0.5655361377447844	 val:0.5816240104287863
train:0.6232381035387516	 val:0.6411746406555175
train:0.7034060473740101	 val:0.7198598110675811
train:0.9269985443353653	 val:0.9390510520339013
train:1.0132015340775251	 val:1.0245278459787368
train:0.7262864262610674	 val:0.7382754515111446
train:0.7697323828190565	 val:0.7744277748465538
train:0.636907956302166	 val:0.6455891954898835
train:0.5900211697071791	 val:0.6080022186040879
train:0.5374234186857939	 val:0.5612027874588966
train:0.5232818151265383	 val:0.5501576406508684
train:0.5696169435232877	 val:0.5930993340909481
train:0.6274377067387104	 val:0.6452792809158564
train:0.7213255337625742	 val:0.7405837476998568
train:0.7491422260552645	 val:0.7570878233015538
train:0.6634036768972874	 val:0.6885802307724953
train:0.6883065620064736	 val:0.7041041411459446
train:0.6115531424432993	 val:0.6321699039638042
train:0.5661300180852413	 val:0.587714070007205
train:0.4998980093002319	 val:0.534266601651907
train:0.49098849318921567	 val:0.5282868804782629
train:0.5253381458669901	 val:0.5594478555768728
train:0.5946106323599816	 val:0.6267534840852023
train:0.674476642459631	 val:0.6998090708255768
train:0.9255771922320127	 val:0.9571696989238262
train:0.7879830345511436	 val:0.8179809862375259
train:0.6591094511002302	 val:0.6873011796176434
train:0.5801607076823712	 val:0.6014034104347229
train:0.5226743655651808	 val:0.5569480692595243
train:0.47378675170242784	 val:0.5177403447031975
train:0.4663659390062094	 val:0.5144416314363479
train:0.5045037249475718	 val:0.5480567418783903
train:0.5498636390268803	 val:0.5867308476567268
train:0.621103641167283	 val:0.652524088472128
train:0.7300064281374216	 val:0.7686854712665081
train:0.7099665570259094	 val:0.7556191244721413
train:0.6140985914319753	 val:0.6528791011869908
train:0.5657728727161885	 val:0.6011262614279985
train:0.4971411266922951	 val:0.5354435101151467
train:0.45304379738867284	 val:0.5046968516707421
train:0.4429686930030584	 val:0.49902784124016764
train:0.48033542960882186	 val:0.5305436114966869
train:0.5121250864118337	 val:0.56263018399477
train:0.5599896197021007	 val:0.6015594205260277
train:0.6512950064986944	 val:0.7007610639929771
train:0.6543537200242281	 val:0.705301425382495
train:0.6307515146583319	 val:0.6809504813700914
train:0.529753458276391	 val:0.5741638171672822
train:0.4795079874247313	 val:0.5263873548060656
train:0.4291955223679543	 val:0.48888300828635695
train:0.4203840767592192	 val:0.48514524832367895
train:0.4497394301742315	 val:0.5088373053073884
train:0.4915249614417553	 val:0.549760766774416
train:0.542171211913228	 val:0.5948095504194498
train:0.5856796446442604	 val:0.6279823493212462
train:0.5715750480443239	 val:0.6227810949087143
train:0.553123219832778	 val:0.6020428682863712
train:0.5155581580102444	 val:0.56974998049438
train:0.4535220880806446	 val:0.5144018753618002
train:0.40896937265992167	 val:0.47870293334126474
train:0.3985051707178354	 val:0.4736041194200516
train:0.43731685511767865	 val:0.5039939600229263
train:0.47334502376616	 val:0.5374901892989874
train:0.549053887501359	 val:0.6065685200691223
train:0.5661842585355044	 val:0.619515652731061
train:0.5798517943173647	 val:0.6351687620580196
train:0.5278962870687246	 val:0.5922523161023855
train:0.4779153592884541	 val:0.5347959421575069
train:0.43461214914917945	 val:0.5040813032537699
train:0.3932917303591967	 val:0.4698186045885086
train:0.3823619707673788	 val:0.46579202078282833
train:0.4102265641093254	 val:0.49097212553024294
train:0.4490841706842184	 val:0.522886728644371
train:0.5162872076034546	 val:0.5890542903542518
train:0.5771323850005865	 val:0.642362901493907
train:0.5864403242617846	 val:0.6581579027324915
train:0.5056030511111022	 val:0.5745782568305731
train:0.47663316696882246	 val:0.5438111703842878
train:0.4200380782410502	 val:0.49513090431690215
train:0.3761225538700819	 val:0.46173073910176754
train:0.369999690875411	 val:0.4594954160600901
train:0.3985392143577337	 val:0.4833499312400818
train:0.42353195808827876	 val:0.503554979339242
train:0.4677447058260441	 val:0.5439086858183145
train:0.5148825798928738	 val:0.590138730108738
train:0.537506483271718	 val:0.6105734351277351
train:0.4955477522313595	 val:0.5603072878718376
train:0.44323371835052966	 val:0.5190401503443718
train:0.4013119427114725	 val:0.48755202025175093
train:0.36283151131123303	 val:0.46081032082438467
train:0.35322021137923004	 val:0.4548647952824831
train:0.3871509759128094	 val:0.4843548371642828
train:0.4193419128656387	 val:0.5109199152886867
train:0.48582423251122236	 val:0.5681354969739913
train:0.47287253133952617	 val:0.5536812964826823
train:0.48561566695570946	 val:0.5721624565124511
train:0.46966872550547123	 val:0.5580823071300983
train:0.4377870059013367	 val:0.5218818785995245
train:0.38875678114593026	 val:0.48319411784410476
train:0.34752784091979266	 val:0.44971800908446313
train:0.3395121772959828	 val:0.44818536438047885
train:0.3657941625639796	 val:0.4696447479724884
train:0.40601199455559256	 val:0.5097037272900343
train:0.4399378467351198	 val:0.5245432835817337
train:0.49106684170663356	 val:0.5765173241496087
train:0.5045764811336995	 val:0.5873828110843897
train:0.44091063871979713	 val:0.52965298011899
train:0.40901680320501327	 val:0.5058142755180597
train:0.37344061948359014	 val:0.4771784043312073
train:0.33763774529099466	 val:0.4519171241670847
train:0.32818389747291804	 val:0.44551424324512484
train:0.35767626360058785	 val:0.47000657476484775
train:0.3935061987861991	 val:0.5009264795482159
train:0.43521829046308996	 val:0.5353502744436264
train:0.4428480167686939	 val:0.5368897952884436
train:0.4899569537490606	 val:0.5887307812273502
train:0.4546112122386694	 val:0.5532116497308016
train:0.4152327761054039	 val:0.5197837785631418
train:0.3652509940415621	 val:0.4751591657102108
train:0.3256923492625356	 val:0.4471171278506517
train:0.31664580963551997	 val:0.4436153767257929
train:0.34116973258554933	 val:0.4645007557421923
train:0.3797232062369585	 val:0.4954051100462675
train:0.39245394341647627	 val:0.5031522340327501
train:0.5124017328768968	 val:0.6207100766152144
train:0.4596728204190731	 val:0.5715811424702406
train:0.43665768049657344	 val:0.5387455224990845
train:0.40232122246176005	 val:0.5110650300979614
train:0.35257765997201207	 val:0.4710171404480934
train:0.3153500410169363	 val:0.4475312085449696
train:0.30529610861092804	 val:0.4440712728351355
train:0.3307692500948906	 val:0.4635118913650513
train:0.36056657396256925	 val:0.4896360098570585
train:0.4213058640807867	 val:0.535566493421793
train:0.4446375951170921	 val:0.5601238415390253
train:0.4499901831150055	 val:0.5562616842985153
train:0.4178182349354029	 val:0.5248815051466227
train:0.3838365227356553	 val:0.5033878045529128
train:0.3450968981906772	 val:0.47535311222076415
train:0.30418456614017486	 val:0.44392237879335883
train:0.2969562101364136	 val:0.4425728099048138
train:0.32336672611534595	 val:0.4640764617174864
train:0.3525948971137404	 val:0.48716571263968944
train:0.3893325346708298	 val:0.5163023580610752
train:0.4549303389340639	 val:0.5709095472097396
train:0.46105060920119284	 val:0.5636751066148281
train:0.40872275590896606	 val:0.5305456425249576
train:0.3724349278956652	 val:0.4964164002984762
train:0.3311449709162116	 val:0.4695002817362547
train:0.29524457406252624	 val:0.44544737465679646
train:0.2875198123604059	 val:0.44455575086176397
train:0.31252464406192304	 val:0.46527161456644534
train:0.3546555311977863	 val:0.49886107370257377
train:0.3807949931919575	 val:0.5229414293169975
train:0.4287361197918653	 val:0.5575858875364065
train:0.4352505846694112	 val:0.5551942769438029
train:0.4166739112883806	 val:0.5373927425593138
train:0.3632381872832775	 val:0.49797829918563363
train:0.3223571551218629	 val:0.4649573252350092
train:0.28657719373703006	 val:0.4451104862242937
train:0.27815098185092213	 val:0.4437054041028023
train:0.3069018172845244	 val:0.46932479038834574
train:0.32981963723897934	 val:0.4824568550288677
train:0.3768063371628523	 val:0.5315149638056755
train:0.41784167230129243	 val:0.5556385211646557
train:0.43046408854424956	 val:0.5519877250492573
train:0.38313090659677984	 val:0.5187039697915315
train:0.3602036301791668	 val:0.49955777168273924
train:0.31186773870140316	 val:0.46253996185958385
train:0.27931696724146604	 val:0.4466894831508398
train:0.27105332594364884	 val:0.44453213319182394
train:0.2963432344421744	 val:0.4618913409113884
